"code"	"comname"	"family"	"genus"	"species"	"gensp"	"fishinv"	"group"	"hab"	"natinv"	"notes"
"AMESHA"	"American Shad"	"Clupeidae"	"Alosa"	"sapidissima"	"Alosa sapidissima"	"Fish"	"Fish"	"Pelagic"	"Invasive"	
"ARRGOB"	"Arrow Goby"	"Gobiidae"	"Clevelandia"	"ios"	"Clevelandia ios"	"Fish"	"Fish"	"Benthic"	"Native"	
"BARSUR"	"Barred Surfperch"	"Embiotocidae"	"Amphistichus"	"argenteus"	"Amphistichus argenteus"	"Fish"	"Fish"	"Benthic"	"Native"	
"BATRAY"	"Bat Ray"	"Myliobatidae"	"Myliobatis"	"californica"	"Myliobatis californica"	"Fish"	"Fish"	"Benthic"	"Native"	
"BAYGOB"	"Bay Goby"	"Gobiidae"	"Lepidogobius"	"lepidus"	"Lepidogobius lepidus"	"Fish"	"Fish"	"Benthic"	"Native"	
"BAYPIP"	"Bay Pipefish"	"Syngnathidae"	"Syngnathus"	"leptorhynchus"	"Syngnathus leptorhynchus"	"Fish"	"Fish"	"Littoral"	"Native"	
"BIGLOG"	"Bigscale Logperch"	"Percidae"	"Percina"	"macrolepida"	"Percina macrolepida"	"Fish"	"Fish"	"Benthic"	"Native"	
"BIGSKA"	"Big Skate"	"Rajidae"	"Raja"	"binoculata"	"Raja binoculata"	"Fish"	"Fish"	"Benthic"	"Native"	
"BLABUL"	"Black Bullhead"	"Ictaluridae"	"Ameiurus"	"melas"	"Ameiurus melas"	"Fish"	"Fish"	"Benthic"	"Invasive"	
"BLACRA"	"Black Crappie"	"Centrarchidae"	"Pomoxis"	"nigromaculatus"	"Pomoxis nigromaculatus"	"Fish"	"Fish"	"Pelagic"	"Invasive"	
"BLAPER"	"Black Perch"	"Embiotocidae"	"Embiotoca"	"jacksoni"	"Embiotoca jacksoni"	"Fish"	"Fish"	"Littoral"	"Native"	
"BLAROC"	"Black Rockfish"	"Scorpaenidae"	"Sebastes"	"melanops"	"Sebastes melanops"	"Fish"	"Fish"	"Littoral"	"Native"	
"BLUCAT"	"Blue Catfish"	"Ictaluridae"	"Ictalurus"	"furcatus"	"Ictalurus furcatus"	"Fish"	"Fish"	"Benthic"	"Invasive"	
