"AlphaCode"	"DFGCode"	"CommonName"	"ScientificName"	"Family"	"PhyloOrder_Species"	"N or I"	"Range"	"FunctionalGroup"	"Comments"	"MidwaterTrawl"	"OtterTrawl"	"LarvalNet"	"BeachSeine"
"AMESHA"	1001	"American shad"	"Alosa sapidissima"	"Clupeidae"	21	"I"	"FW"	"AN"		1980	1980	1982	1980
"ARCHGO"	2885	"arrow or cheekspot goby"		"Gobiidae"	141	"N"			"Larval fish data only"			1981	
"ARRGOB"	2882	"arrow goby"	"Clevelandia ios"	"Gobiidae"	145	"N"		"ER"		1986	1982	1980	1980
"BARSUR"	2101	"barred surfperch"	"Amphistichus argenteus"	"Embiotocidae"	115	"N"	"SoCal"	"MMO"		1980	1980		1980
"BATRAY"	240	"bat ray"	"Myliobatis californica"	"Myliobatidae"	14	"N"		"MMO"	"Myliobatididae-> Myliobatidae"	1980	1980		1982
"BAYGOB"	2879	"bay goby"	"Lepidogobius lepidus"	"Gobiidae"	148	"N"		"ER"		1980	1980	1980	1980
"BAYPIP"	1582	"bay pipefish"	"Syngnathus leptorhynchus"	"Syngnathidae"	71	"N"		"ER"		1980	1980	1980	1980
"BIGLOG"	7167	"bigscale logperch"	"Percina macrolepida"	"Percidae"	109	"I"	"FW"	"FS"			1981	1980	1986
"BIGSKA"	222	"big skate"	"Raja binoculata"	"Rajidae"	13	"N"		"MMO"		1981	1980		
"BLABUL"	7100	"black bullhead"	"Ameiurus melas"	"Ictaluridae"	36	"I"	"FW"	"FS"		1981	2002		
"BLACRA"	7149	"black crappie"	"Pomoxis nigromaculatus"	"Centrarchidae"	108	"I"	"FW"	"FS"		1989	1994		
"BLAGOB"	2871	"blackeye goby"	"Rhinogobiops nicholsii"	"Gobiidae"	149	"N"	"SoCal"		"Coryphopterus-> Rhinogobiops; nicholsi-> nicholsii; Larval fish data only"			1981	
"BLAPER"	2107	"black perch"	"Embiotoca jacksoni"	"Embiotocidae"	119	"N"	"SoCal"	"MMD"		1985	1981		1980
"BLAROC"	2327	"black rockfish"	"Sebastes melanops"	"Scorpaenidae"	74	"N"		"MS"		1988	1986		
"BLUCAT"	7105	"blue catfish"	"Ictalurus furcatus"	"Ictaluridae"	38	"I"	"FW"	"FS"			1997		
"BLUEGI"	7143	"bluegill"	"Lepomis macrochirus"	"Centrarchidae"	103	"I"	"FW"	"FS"		1991	1982	1982	
"BLULAN"	1404	"blue lanternfish"	"Tarletonbeania crenularis"	"Myctophidae"	55	"N"			"Larval fish data only"			1982	
"BLUROC"	2330	"blue rockfish"	"Sebastes mystinus"	"Scorpaenidae"	76	"N"		"MS"			1988		
"BOCACC"	2334	"bocaccio"	"Sebastes paucispinis"	"Scorpaenidae"	77	"N"		"MS"			2003		
"BONSCU"	2430	"bonyhead sculpin"	"Artedius notospilotus"	"Cottidae"	85	"N"		"MS"	"bonehead -> bonyhead"	1981	1981	1980	1980
"BROBUL"	7101	"brown bullhead"	"Ameiurus nebulosus"	"Ictaluridae"	37	"I"	"FW"	"FS"		1980	1996		
"BROILO"	2406	"brown Irish lord"	"Hemilepidotus spinosus"	"Cottidae"	89	"N"		"MS"			1985	1980	
"BROROC"	2304	"brown rockfish"	"Sebastes auriculatus"	"Scorpaenidae"	72	"N"		"MMD"		1983	1980	1982	1980
"BROSMO"	139	"brown smoothhound"	"Mustelus henlei"	"Triakidae"	8	"N"		"MMO"	"Elasmobranchiomorphi-> Chondrichthyes; Lamniformes-> Carcharhiniformes; Carcharhinidae-> Triakidae"	1980	1980		
"BROSSH"	103	"broadnose sevengill shark"	"Notorynchus cepedianus"	"Hexanchidae"	5	"N"		"MS"	"Elasmobranchiomorphi-> Chondrichthyes; sevengill shark-> broadnose sevengill shark; SEVSHA -> BROSSH"	1997	1988		
"BUFSCU"	2404	"buffalo sculpin"	"Enophrys bison"	"Cottidae"	87	"N"		"MS"			1997		
"CABEZO"	2410	"cabezon"	"Scorpaenichthys marmoratus"	"Cottidae"	93	"N"		"MS"			2001	1980	1980
"CALGRU"	2694	"California grunion"	"Leuresthes tenuis"	"Atherinopsidae"	65	"N"	"SoCal"	"MMO"	"Atherinidae-> Atherinopsidae"	2001			
"CALHAL"	3005	"California halibut"	"Paralichthys californicus"	"Paralichthyidae"	159	"N"	"SoCal"	"MMO"	"Bothidae-> Paralichthyidae"	1980	1980	1980	1983
"CALLIZ"	1525	"California lizardfish"	"Synodus lucioceps"	"Synodontidae"	53	"N"	"SoCal"	"MS"		1983	1983		
"CALSUR"	2102	"calico surfperch"	"Amphistichus koelzi"	"Embiotocidae"	116	"N"		"MS"		1993	1998		1983
