"Station"	"Series"	"Bay"	"ChanShoal"	"Comments"
101	1	1	1	
102	1	1	2	
103	1	1	2	
104	1	1	2	
105	1	1	2	
106	1	1	2	
107	1	1	1	
108	1	1	1	
109	1	2	1	
110	1	2	1	
140	2	1	1	
141	2	1	2	
142	2	2	2	
211	1	2	2	
212	1	2	2	
213	1	2	1	
214	1	2	1	
215	1	2	1	
216	1	2	1	
243	2	2	2	
244	2	2	2	
317	1	3	2	
318	1	3	2	
319	1	3	2	
320	1	3	2	
321	1	3	2	
322	1	3	2	
323	1	3	2	
324	1	3	2	"Same location as station 317, sampled only in 1980 and 1981-01"
325	1	3	1	
326	1	3	2	"Same location as station 319, sampled only in 1980 and 1981-01"
345	2	3	1	
346	2	3	1	
427	1	4	1	
428	1	4	1	
429	1	4	1	
430	1	4	2	
431	1	4	2	
432	1	4	1	
433	1	4	1	
447	2	4	2	
534	1	4	2	
535	1	5	1	
736	1	5	1	
750	3	6	1	
751	3	6	1	
752	3	6	2	
753	3	6	2	"Otter trawl for station 752, July 2008; sampled on 2 different days, had to add a dummy variable."
760	4	6	2	
761	4	6	1	
762	4	6	2	
837	1	5	2	
853	3	7	1	
863	4	7	2	
864	4	7	1	
865	4	7	2	
