"SampleRowID"	"StationCode"	"SampleDate"	"MethodCode"	"SampleTimeStart"	"SampleTimeEnd"	"UserName"	"SurveyNumber"	"WaterTemperature"	"Turbidity"	"Secchi"	"SecchiEstimated"	"ConductivityTop"	"ConductivityBottom"	"TowDirectionCode"	"MeterStart"	"MeterEnd"	"CableOut"	"TideCode"	"DepthBottom"	"MeterNumber"	"WeatherCode"	"Microcystis"	"WaveCode"	"DateEntered"
1	"070"	1/10/1992 0:00:00	"MWTR"	12/30/1899 8:18:00			7	8.30		0.69	0	216		1	728383	748933		4	20					
2	"070"	2/7/1992 0:00:00	"MWTR"	12/30/1899 8:23:00			8	10.00		1.20	0	204		1	540961	562362		4	12					
3	"070"	3/18/1992 0:00:00	"MWTR"	12/30/1899 7:25:00			9	13.90		0.32	0	246		2	735114	751479		2	20					
4	"070"	9/16/1992 0:00:00	"MWTR"	12/30/1899 7:15:00			3	21.10		0.71	0			1	277986	301506		4	15					
5	"070"	10/14/1992 0:00:00	"MWTR"	12/30/1899 8:46:00			4	19.40		1.04	0	174		1	52365	76815		4	20					
6	"070"	11/9/1992 0:00:00	"MWTR"	12/30/1899 9:15:00			5	14.70		0.71	0	225		2	830247	852999		2	15					
7	"070"	12/14/1992 0:00:00	"MWTR"	12/30/1899 9:35:00			6	8.90		0.15	0	157		2	246918	273559		2	15					
8	"070"	1/13/1993 0:00:00	"MWTR"	12/30/1899 8:40:00			7	7.20		0.16	0	192		2	904817	928444		2	20					
9	"070"	2/10/1993 0:00:00	"MWTR"	12/30/1899 13:45:00			8	10.60		0.09	0	211		2	764383	790095		4	15					
10	"070"	3/16/1993 0:00:00	"MWTR"	12/30/1899 10:18:00			9	14.70		0.70	0	192		2	708680	732806		4	15					
11	"070"	4/14/1993 0:00:00	"MWTR"	12/30/1899 10:37:00			10	13.30		0.38	0	157		2	802997	824281		4	18					
12	"070"	5/12/1993 0:00:00	"MWTR"	12/30/1899 12:03:00			11	16.10		0.66	0	114		1	668856	677867		2	20					
13	"070"	8/12/1993 0:00:00	"MWTR"	12/30/1899 13:02:00			2	21.10		0.98	0	129		2	966412	987506		4	15					
14	"070"	8/8/1994 0:00:00	"MWTR"	12/30/1899 9:32:00			2	23.60		1.30	0	156		2	475889	492061		2	15					
15	"070"	9/14/1994 0:00:00	"MWTR"	12/30/1899 7:59:00			3	19.40			0			1	91396	114775		2	10					
16	"070"	10/12/1994 0:00:00	"MWTR"	12/30/1899 8:27:00			4	17.80		0.98	0	252		2	497867	510137		2	15					
17	"070"	11/16/1994 0:00:00	"MWTR"	12/30/1899 9:01:00			5	11.10		0.98	0	242		1	359725	376134		2	15					
18	"070"	12/13/1994 0:00:00	"MWTR"	12/30/1899 8:24:00			6	7.80		0.81	0	224		2	735965	759094		2	10					
19	"070"	9/14/1995 0:00:00	"MWTR"	12/30/1899 7:37:00		"Admin"	3	19.40		0.80	0	124		1	586701	604419		4	15					
20	"071"	1/10/1992 0:00:00	"MWTR"	12/30/1899 7:45:00			7	8.30		0.73	0	201		1	707032	728383		4	15					
21	"071"	2/7/1992 0:00:00	"MWTR"	12/30/1899 9:15:00			8	10.00		1.40	0	197		1	582266	599839		4	14					
22	"071"	3/18/1992 0:00:00	"MWTR"	12/30/1899 8:40:00			9	13.60		0.33	0	276		2	770962	788898		2	25					
23	"071"	12/14/1992 0:00:00	"MWTR"	12/30/1899 9:20:00			6	8.90		0.15	0	174		2	217748	246918		2	20					
24	"072"	1/10/1991 0:00:00	"MWTR"	12/30/1899 8:10:00			7	6.10		1.18	0	193		1	632637	660377		4	12					
25	"072"	2/8/1991 0:00:00	"MWTR"	12/30/1899 9:06:00			8	9.70		0.71	0	235		1	794828	823232		4	8					
26	"072"	3/12/1991 0:00:00	"MWTR"	12/30/1899 8:16:00			9	11.40		0.32	0	204		2	750468	776722		2	13					
27	"072"	1/10/1992 0:00:00	"MWTR"	12/30/1899 9:13:00			7	8.30		0.63	0	203		1	771859	792769		4	20					
28	"072"	2/7/1992 0:00:00	"MWTR"	12/30/1899 7:55:00			8	10.00		0.89	0	200		1	529136	540961		4	12					
29	"072"	3/18/1992 0:00:00	"MWTR"	12/30/1899 6:50:00			9	13.30		0.34	0	259		2	716985	735114		2	15					
30	"072"	9/16/1992 0:00:00	"MWTR"	12/30/1899 6:05:00			3	20.60		0.39	0			1	225532	253965		4	15					
31	"072"	10/14/1992 0:00:00	"MWTR"	12/30/1899 7:45:00			4	19.40		1.11	0	163		1	168	27243		4	12					
32	"072"	11/9/1992 0:00:00	"MWTR"	12/30/1899 7:55:00			5	14.40		1.10	0	235		2	782349	806447		2	12					
33	"072"	12/14/1992 0:00:00	"MWTR"	12/30/1899 8:00:00			6	8.90		0.19	0	231		1	163831	196921		4	10					
34	"072"	1/13/1993 0:00:00	"MWTR"	12/30/1899 7:20:00			7	7.20		0.16	0	171		1	857395	881313		4	15					
35	"072"	2/10/1993 0:00:00	"MWTR"	12/30/1899 9:07:00			8	10.30		0.14	0	201		2	623659	651045		4	15					
36	"072"	3/16/1993 0:00:00	"MWTR"	12/30/1899 8:58:00			9	15.00		0.61	0	202		1	663418	685302		4	15					
37	"072"	4/14/1993 0:00:00	"MWTR"	12/30/1899 9:48:00			10	13.30		0.29	0	154		2	757951	776993		4	12					
38	"072"	5/12/1993 0:00:00	"MWTR"	12/30/1899 11:14:00			11	16.70		0.64	0	114		2	627908	647483		2	14					
39	"072"	8/12/1993 0:00:00	"MWTR"	12/30/1899 13:46:00			2	22.50		1.04	0	116		2	11651	38363		4	15					
40	"072"	1/19/1994 0:00:00	"MWTR"	12/30/1899 12:39:00			7	8.90		1.25	0	192		2	2703	24258		2	15					
41	"072"	2/15/1994 0:00:00	"MWTR"	12/30/1899 9:09:00			8	8.90		0.58	0	193		2	933387	952106		2	10					
42	"072"	3/11/1994 0:00:00	"MWTR"	12/30/1899 8:58:00			9	13.90		0.79	0	212		2	680977	701989		2	10					
43	"072"	4/12/1994 0:00:00	"MWTR"	12/30/1899 8:09:00			10	16.10		1.21	0	218		2	758947	777782		2	12					
44	"072"	8/8/1994 0:00:00	"MWTR"	12/30/1899 8:07:00			2	23.10		1.20	0	158		2	433385	456225		2	10					
45	"072"	9/14/1994 0:00:00	"MWTR"	12/30/1899 6:34:00			3	19.40		0.49	0	283		2	45004	67040		2	10					
46	"072"	10/12/1994 0:00:00	"MWTR"	12/30/1899 6:52:00			4	17.80			0	239		2	462723	479586		2	13					
47	"072"	11/16/1994 0:00:00	"MWTR"	12/30/1899 7:37:00			5	11.10		1.01	0	217		2	326817	346053		2	15					
48	"072"	12/13/1994 0:00:00	"MWTR"	12/30/1899 7:03:00			6	7.20		0.71	0	197		2	696002	716225		2	15					
49	"072"	1/12/1995 0:00:00	"MWTR"	12/30/1899 9:53:00			7	10.60		0.00	0	101		2	228702	248938		2	20					
50	"072"	2/13/1995 0:00:00	"MWTR"	12/30/1899 8:17:00			8	9.80		0.33	0	929		2	618127	632497		2	15					
51	"072"	4/10/1995 0:00:00	"MWTR"	12/30/1899 11:10:00			10	13.70		0.16	0	128		2	755682	770226		2	14					
52	"072"	9/14/1995 0:00:00	"MWTR"	12/30/1899 6:41:00			3	18.60		0.72	0	131		2	547759	565749		2	10					
53	"072"	10/18/1995 0:00:00	"MWTR"	12/30/1899 9:04:00			4	16.90		1.01	0	113		2	393119	414545		2	10					
54	"072"	11/16/1995 0:00:00	"MWTR"	12/30/1899 6:49:00			5	14.80		1.31	0	146		2	684844	702405		2	10					
55	"072"	12/11/1995 0:00:00	"MWTR"	12/30/1899 10:14:00			6	12.90		0.67	0	155		2	130959	157171		2	10					
56	"072"	1/10/1996 0:00:00	"MWTR"	12/30/1899 9:23:00			7	10.50		0.77	0	190		2	996786	12419		2	15					
57	"072"	2/15/1996 0:00:00	"MWTR"	12/30/1899 9:52:00			8	11.60		0.34	0	121		2	788137	811675		2	15					
58	"072"	3/12/1996 0:00:00	"MWTR"	12/30/1899 8:44:00			9	11.70		0.12	0	137		2	498788	520691		2	15					
59	"072"	8/13/1996 0:00:00	"MWTR"	12/30/1899 6:59:00			2	22.70		1.14	0	132		2	286019	302945		2	10					
60	"072"	9/11/1996 0:00:00	"MWTR"	12/30/1899 7:44:00			3	19.10		0.66	0	172		2	698065	720680		2	13					
61	"072"	10/16/1996 0:00:00	"MWTR"	12/30/1899 7:57:00			4	17.20		0.98	0	120		2	918594	941239		2	15					
62	"072"	11/14/1996 0:00:00	"MWTR"	12/30/1899 8:34:00			5	12.10		1.41	0	108		2	280267	297302		2	10					
63	"072"	12/19/1996 0:00:00	"MWTR"	12/30/1899 9:17:00			6	9.90		0.31	0	78		2	182747	200920		2	15					
64	"072"	3/12/1997 0:00:00	"MWTR"	12/30/1899 9:18:00			9	11.90		0.39	0	113		2	632791	654788		2	15					
65	"072"	8/12/1997 0:00:00	"MWTR"	12/30/1899 11:33:00	12/30/1899 11:44:00		2	22.30		0.72	0	131		1	488183	508848	0	4	15	12981				
66	"072"	9/11/1997 0:00:00	"MWTR"	12/30/1899 7:21:00	12/30/1899 7:32:00		3	20.80		0.59	0	182		2	704272	723679	50	2	15	14979				
67	"072"	10/17/1997 0:00:00	"MWTR"	12/30/1899 7:25:00	12/30/1899 7:35:00		4	15.90		0.98	0	138		1	807243	828592	50	4	15	14979				
68	"072"	11/13/1997 0:00:00	"MWTR"	12/30/1899 7:56:00	12/30/1899 8:06:00		5	14.50		0.98	0	167		2	690920	708314	0	2	15	14979				
69	"072"	12/9/1997 0:00:00	"MWTR"	12/30/1899 7:55:00	12/30/1899 8:05:00		6	10.50		0.24	0	142		2	776404	798422	50	2	15	12423				
70	"072"	9/24/1998 0:00:00	"MWTR"	12/30/1899 8:23:00	12/30/1899 8:33:00		3	17.70		0.94	0	126		1	470793	491275	0	4	15	12423				
71	"072"	10/22/1998 0:00:00	"MWTR"	12/30/1899 8:04:00	12/30/1899 8:14:00		4	15.10		0.97	0	146		2	839198	861142	50	2	15	12423				
72	"072"	2/22/1999 0:00:00	"MWTR"	12/30/1899 9:35:00	12/30/1899 9:45:00		8	9.00		0.29	0	107		2	95147	117660	50	2	15	12423				
73	"072"	3/16/1999 0:00:00	"MWTR"	12/30/1899 8:39:00	12/30/1899 8:49:00		9	10.30		0.53	0	92		2	963364	986902	50	2	15	12423				
74	"072"	10/14/1999 0:00:00	"MWTR"	12/30/1899 7:57:00	12/30/1899 8:06:00		4	17.90		1.38	0	121		1	757183	774026	50	4	15	14978				
75	"072"	11/10/1999 0:00:00	"MWTR"	12/30/1899 7:34:00	12/30/1899 7:42:00		5	14.90		1.36	0	141		2	845338	868406	50	2	15	14978				
76	"072"	2/16/2000 0:00:00	"MWTR"	12/30/1899 9:25:00	12/30/1899 9:35:00		8	11.20		0.24	0	113		2	607902	629844	50	2	15	14978				
77	"072"	3/15/2000 0:00:00	"MWTR"	12/30/1899 7:50:00	12/30/1899 7:59:00		9	12.10		0.54	0	125		2	273748	292620	0	2	10	14978				
78	"072"	10/12/2000 0:00:00	"MWTR"	12/30/1899 8:00:00	12/30/1899 8:10:00		4	17.40		1.01	0	154		2	493890	520485	50	2	15	13327				
79	"072"	11/16/2000 0:00:00	"MWTR"	12/30/1899 9:02:00	12/30/1899 9:11:00		5	10.80		1.74	0	133		1	421460	442666	50	4	15	13327				
80	"072"	12/14/2000 0:00:00	"MWTR"	12/30/1899 10:26:00	12/30/1899 10:34:00		6	11.00		0.98	0	143		1	299835	317206	50	4	15	13327				
81	"072"	1/16/2001 0:00:00	"MWTR"	12/30/1899 9:05:00	12/30/1899 9:16:00		7	8.10		0.34	0	124		1	80535	96800	0	4	15	13327				
82	"072"	2/23/2001 0:00:00	"MWTR"	12/30/1899 7:57:00	12/30/1899 8:05:00		8	9.90		0.32	0	192		2	139202	154465	0	2	14	13327				
83	"072"	3/12/2001 0:00:00	"MWTR"	12/30/1899 8:35:00	12/30/1899 8:44:00		9			0.15	0			2			0	2	15	13291				
