"Survey"	"Date"	"Station"	"Temp"	"TopEC"	"BottomEC"	"Secchi"	"Turbidity"	"Lat"	"Long"	"Comments"
1	1/5/2009 0:00:00	809	7.70	1424	1548	70				
1	1/5/2009 0:00:00	901	7.70	856	883	95				
1	1/5/2009 0:00:00	902	7.40	858	777	92				
1	1/5/2009 0:00:00	906	8.00	469	478	129				
1	1/5/2009 0:00:00	910	8.20	548	587	77				
1	1/5/2009 0:00:00	912	8.20	997	991	63				
1	1/5/2009 0:00:00	914	7.80	604	601	157				
1	1/5/2009 0:00:00	915	7.50	803	801	140				
1	1/5/2009 0:00:00	918	7.60	787	758	154				
1	1/5/2009 0:00:00	919	7.70	263	265	194				
1	1/6/2009 0:00:00	703	9.20	1966	7230	70				
1	1/6/2009 0:00:00	704	9.30	3604	8030	40				
1	1/6/2009 0:00:00	705	8.00	548	640	50				
1	1/6/2009 0:00:00	706	9.10	2080	5250	58				
1	1/6/2009 0:00:00	707	8.10	1109	1085	35				
1	1/6/2009 0:00:00	711	7.90	246	263	59				
1	1/6/2009 0:00:00	716	8.10	239	232	77				
1	1/6/2009 0:00:00	723	8.00	242	242	68				
1	1/6/2009 0:00:00	812	7.70	800	800	52				
1	1/6/2009 0:00:00	815	7.70	496	500	94				
1	1/7/2009 0:00:00	501	8.50	19580	21440	48				
1	1/7/2009 0:00:00	508	8.20	12470	18050	43				
1	1/7/2009 0:00:00	513	8.00	8020	13790	59				
1	1/7/2009 0:00:00	519	8.30	16220	15890	40				
1	1/7/2009 0:00:00	801	7.90	6730	8760	50				
1	1/7/2009 0:00:00	804	7.60	3946	4695	70				
1	1/8/2009 0:00:00	405	9.60	28040	33970	75				
1	1/8/2009 0:00:00	411	9.60	28280	33300	80				
1	1/8/2009 0:00:00	418	9.50	28850	34480	90				
1	1/8/2009 0:00:00	504	9.20	21600	26830	67				
1	1/8/2009 0:00:00	520	8.50	11160	15360	67				
1	1/8/2009 0:00:00	602	8.90	24120	23780	49				
1	1/8/2009 0:00:00	606	8.60	15750	16460	50				
1	1/8/2009 0:00:00	609	8.40	12580	12580	50				
1	1/8/2009 0:00:00	610	8.10	9900	10100	55				
2	1/20/2009 0:00:00	809	8.70	1540	1625	90				
2	1/20/2009 0:00:00	901	8.90	1004	1030	111				
2	1/20/2009 0:00:00	902	8.70	850	854	137				
2	1/20/2009 0:00:00	906	9.30	490	524	199				
2	1/20/2009 0:00:00	910	9.60	539	568	200				
2	1/20/2009 0:00:00	912	9.40	1040	1023	200				
2	1/20/2009 0:00:00	914	9.30	603	598	198				
2	1/20/2009 0:00:00	915	9.10	764	767	121				
2	1/20/2009 0:00:00	918	9.10	727	730	123				
2	1/20/2009 0:00:00	919	9.70	305	304	160				
2	1/21/2009 0:00:00	703	9.70	6540	7860	87				
2	1/21/2009 0:00:00	704	9.50	9970	11660	70				
2	1/21/2009 0:00:00	705	9.00	902	998	113				
2	1/21/2009 0:00:00	706	9.30	1850	5620	90				
2	1/21/2009 0:00:00	707	9.60	1455	3284	110				
2	1/21/2009 0:00:00	711	9.70	262	267	200				
2	1/21/2009 0:00:00	716	9.90	282	297	119				
2	1/21/2009 0:00:00	723	10.30	234	231	200				
2	1/21/2009 0:00:00	812	8.70	906	885	155				
2	1/21/2009 0:00:00	815	9.10	513	589	200				
2	1/22/2009 0:00:00	501	9.90	20810	22830	83				
2	1/22/2009 0:00:00	504	9.80	19570	24090	95				
2	1/22/2009 0:00:00	508	9.40	10000	18140	90				
2	1/22/2009 0:00:00	513	9.30	8090	13530	102				
2	1/22/2009 0:00:00	519	9.60	13700	19640	90				
2	1/22/2009 0:00:00	520	9.60	13320	15570	90				
2	1/22/2009 0:00:00	801	9.30	5710	8460	90				
2	1/22/2009 0:00:00	804	9.30	6700	4787	120				
2	1/23/2009 0:00:00	405	10.50	27110	31930	90				
2	1/23/2009 0:00:00	411	10.40	28060	30460	58				
2	1/23/2009 0:00:00	418	10.40	27100	30170	85				
2	1/23/2009 0:00:00	602	10.20	21190	22180	60				
2	1/23/2009 0:00:00	606	9.90	10180	15890	39				
2	1/23/2009 0:00:00	609	9.70	9810	9820	37				
2	1/23/2009 0:00:00	610	9.50	9150	10460	46				
3	2/2/2009 0:00:00	809	9.30	1229	1313	110				
3	2/2/2009 0:00:00	812	9.80	809	871	164				
3	2/2/2009 0:00:00	815	10.00	543	556	130				
3	2/2/2009 0:00:00	901	9.60	759	774	150				
3	2/2/2009 0:00:00	902	9.70	841	850	160				
3	2/2/2009 0:00:00	906	10.90	498	500	200				
3	2/2/2009 0:00:00	910	11.10	830	842	170				
3	2/2/2009 0:00:00	912	10.90	1043	1046	145				
3	2/2/2009 0:00:00	914	10.60	776	991	150				
3	2/2/2009 0:00:00	915	9.80	799	802	172				
3	2/2/2009 0:00:00	918	9.90	765	769	150				
